collection_date,route,route_link_index,lead_time_strata,observations,previous_collection_date,route_index
2026-09-04,AMD_DEL,,5,223,,
2026-09-05,AMD_DEL,86.63092182196593,5,150,2026-09-04,100.0
2026-09-06,AMD_DEL,104.8040010733567,5,250,2026-09-05,104.8040010733567
2026-09-07,AMD_DEL,75.84001470097503,5,279,2026-09-06,79.48336982124376
2026-09-08,AMD_DEL,102.61215191019157,5,148,2026-09-07,81.559596184314
2026-09-09,AMD_DEL,99.53317170458529,5,141,2026-09-08,81.17885291169964
2026-09-10,AMD_DEL,107.6291274036852,5,220,2026-09-09,87.37209102518342
2026-09-11,AMD_DEL,101.82049128762387,5,204,2026-09-10,88.96269233011168
2026-09-12,AMD_DEL,94.57336860211801,5,206,2026-09-11,84.13501493572468
2026-09-13,AMD_DEL,94.76102098188053,5,3971,2026-09-12,79.7271991563504
2026-09-04,BLR_BOM,,5,407,,
2026-09-05,BLR_BOM,96.58941111992976,5,398,2026-09-04,100.0
2026-09-06,BLR_BOM,98.65261444192578,5,446,2026-09-05,98.65261444192578
2026-09-07,BLR_BOM,77.0789163087883,5,342,2026-09-06,76.04036612212356
2026-09-08,BLR_BOM,99.87731547070452,5,172,2026-09-07,75.94707635687206
2026-09-09,BLR_BOM,100.24662647361295,5,177,2026-09-08,76.13438195310314
2026-09-10,BLR_BOM,107.98528425454337,5,246,2026-09-09,82.2139287674982
2026-09-11,BLR_BOM,92.83934711233579,5,226,2026-09-10,76.32687470314615
2026-09-12,BLR_BOM,98.06045158651163,5,215,2026-09-11,74.84647801577601
2026-09-13,BLR_BOM,95.93942610047256,5,6852,2026-09-12,71.80728146475187
2026-09-04,BLR_DEL,,5,414,,
2026-09-05,BLR_DEL,105.34169755879222,5,380,2026-09-04,100.0
2026-09-06,BLR_DEL,77.88440252575242,5,352,2026-09-05,77.88440252575242
2026-09-07,BLR_DEL,80.34141803385066,5,271,2026-09-06,62.5734334163817
2026-09-08,BLR_DEL,102.92796853205395,5,130,2026-09-07,64.40556385623908
2026-09-09,BLR_DEL,99.95814903726685,5,164,2026-09-08,64.37860950771153
2026-09-10,BLR_DEL,103.83516697636303,5,187,2026-09-09,66.84763667939299
2026-09-11,BLR_DEL,98.40074843250393,5,169,2026-09-10,65.77857480196373
2026-09-12,BLR_DEL,96.90265513717273,5,161,2026-09-11,63.74118549449411
2026-09-13,BLR_DEL,91.10732974523906,5,8363,2026-09-12,58.07289205199324
2026-09-04,BLR_HYD,,5,336,,
2026-09-05,BLR_HYD,103.82358602907902,5,300,2026-09-04,100.0
2026-09-06,BLR_HYD,99.53499826315854,5,346,2026-09-05,99.53499826315854
2026-09-07,BLR_HYD,75.55766919602706,5,289,2026-09-06,75.20632472194862
2026-09-08,BLR_HYD,100.7049821250321,5,156,2026-09-07,75.73651586813196
2026-09-09,BLR_HYD,101.47436762467382,5,155,2026-09-08,76.85315053814764
2026-09-10,BLR_HYD,102.56247882415653,5,184,2026-09-09,78.82249624638482
2026-09-11,BLR_HYD,93.98701912953383,5,155,2026-09-10,74.08291462546578
2026-09-12,BLR_HYD,95.59141293937458,5,159,2026-09-11,70.81690483715332
2026-09-13,BLR_HYD,102.46529661892228,5,5799,2026-09-12,72.56275159772906
2026-09-04,BOM_BLR,,5,497,,
2026-09-05,BOM_BLR,103.37835262789902,5,421,2026-09-04,100.0
2026-09-06,BOM_BLR,80.14580337191276,5,401,2026-09-05,80.14580337191276
2026-09-07,BOM_BLR,80.3621797490625,5,308,2026-09-06,64.40691456706674
2026-09-08,BOM_BLR,99.9936017568342,5,144,2026-09-07,64.40279365605714
2026-09-09,BOM_BLR,99.05786140453607,5,173,2026-09-08,63.79603008046644
2026-09-10,BOM_BLR,122.13275485750516,5,212,2026-09-09,77.91584902699633
2026-09-11,BOM_BLR,91.87545453653753,5,209,2026-09-10,71.58554044955522
2026-09-12,BOM_BLR,97.94492548384093,5,208,2026-09-11,70.11440425052167
2026-09-13,BOM_BLR,98.03271565276802,5,6962,2026-09-12,68.7350545505462
2026-09-04,BOM_DEL,,5,454,,
2026-09-05,BOM_DEL,93.69908627345578,5,438,2026-09-04,100.0
2026-09-06,BOM_DEL,96.73238377336803,5,458,2026-09-05,96.73238377336801
2026-09-07,BOM_DEL,89.50642389195595,5,294,2026-09-06,86.58169746098437
2026-09-08,BOM_DEL,99.73175481651725,5,148,2026-09-07,86.34944622776767
2026-09-09,BOM_DEL,97.9952200248866,5,160,2026-09-08,84.61832982117208
2026-09-10,BOM_DEL,110.65308400295707,5,201,2026-09-09,93.63279157892083
2026-09-11,BOM_DEL,102.6595862163985,5,164,2026-09-10,96.12303639778294
2026-09-12,BOM_DEL,98.63223155878376,5,170,2026-09-11,94.80829584119527
2026-09-13,BOM_DEL,96.4940544144553,5,8243,2026-09-12,91.48436857842073
2026-09-04,BOM_GOI,,5,350,,
2026-09-05,BOM_GOI,103.93380915496482,5,302,2026-09-04,100.0
2026-09-06,BOM_GOI,79.55934149252585,5,344,2026-09-05,79.55934149252585
2026-09-07,BOM_GOI,75.27694431062868,5,316,2026-09-06,59.889841189231575
2026-09-08,BOM_GOI,106.55747381960123,5,141,2026-09-07,63.81710184581619
2026-09-09,BOM_GOI,105.32694749536977,5,154,2026-09-08,67.21660535420946
2026-09-10,BOM_GOI,107.47853448901648,5,245,2026-09-09,72.24342236797011
2026-09-11,BOM_GOI,94.8901559301083,5,225,2026-09-10,68.55189613421358
2026-09-12,BOM_GOI,84.04646963030734,5,212,2026-09-11,57.615448565441646
2026-09-13,BOM_GOI,102.43106254255731,5,4925,2026-09-12,59.016116154242475
2026-09-04,BOM_MAA,,5,309,,
2026-09-05,BOM_MAA,105.4067365618534,5,271,2026-09-04,100.0
2026-09-06,BOM_MAA,40.270711839479794,5,191,2026-09-05,40.270711839479794
